Title,Keywords,Research_Goal,Research_Question,Hypotheses,Methodology,Findings_Summary,Future_Research_Suggestions,Organisation,Author,Supervisor,Study_Programme,Submission_date,Source_File
Unlocking Meanings and Processing Trauma: Developing a Good Sense of Self through GRIP,"GRIP, trauma, emotional intelligence, rehabilitation, narratives, redemption scripts",to obtain a better understanding of the perceptions of GRIP graduates of their claims of progression of negative to more positive narratives and identities,"What do participants claim about the effects of GRIP, either for themselves or for others in the program?",What do inmates in two California prisons say about how GRIP has impacted participants?; What do participants say about how these effects of the program are realized?; What do non-participants report about changes they have seen in GRIP participants for whom they claim to have relevant observations?,"Qualitative research method using semi-structured interviews, surveys, and photo elicitation activities conducted in two California State prisons. A total of 89 interviews were conducted, with 67 analyzed. Data was coded using ATLAS.ti.","The findings suggest overwhelmingly positive feedback regarding the GRIP program from both participants and non-participants, indicating a progression from negative to positive narratives.","['Further research could study more lasting effects of the program.', 'Investigate if GRIP students keep up with their studies past graduation and beyond.']",University of Amsterdam,Joanna Ho,Bowen Paulle,GSSS: Social Problems and Social Policy,08-2019,37951.pdf
The influence from flexible working arrangements on tacit- and explicit knowledge sharing: A social capital perspective,"flexible working arrangements, tacit knowledge sharing, explicit knowledge sharing, social capital, communication technology use",to find out if FWA’s have a negative influence on knowledge sharing processes and if this relationship is mediated by social capital and moderated by communication technology use,"What is the influence of FWA’s on social capital in organizations, when accounting for communication technology use, and how does this affect employees’ knowledge sharing intentions?","H1: FWA’s have a negative influence on social capital, but CTU moderates this relationship.; H2a: FWA’s have a negative influence on social capital in organizations, which in turn, has a negative influence on explicit knowledge sharing between employees.; H2b: FWA’s have a negative influence on social capital in organizations, which in turn, has a negative influence on tacit knowledge sharing between employees.; H3: FWA’s have a negative influence on social capital, which in turn, has a more negative impact on tacit knowledge sharing than on explicit knowledge sharing between employees.","An online survey was conducted under 161 employees using a non-probability convenient sample. The survey measured the influence of FWA’s on social capital and knowledge sharing, accounting for communication technology use.","FWA’s have a negative impact on tacit knowledge sharing, while a positive relationship was found for explicit knowledge sharing. Social capital positively influences tacit knowledge sharing but does not mediate the relationship between FWA’s and knowledge sharing.","['Conduct a case study on one organization to measure the existence of social capital in a correct manner.', 'Study how different technologies can influence the relationship between FWA’s and knowledge sharing processes.', 'Perform a more fine-grained analysis on the structural, relational, and cognitive components of social capital.']",not present,Floortje Bek,Ward van Zoonen,Corporate communication science,06-2019,38031.pdf
Tomboys ongelukkiger dan meisje-meisjes? Psychisch Welbevinden van Adolescenten die zich aangetrokken voelen tot Hetzelfde Geslacht: de Rol van Pesten en Gender Nonconformiteit,"same-sex attraction, gender nonconformity, bullying, psychological wellbeing, adolescents",Het doel van de huidige studie is ten eerste om te onderzoeken in hoeverre de mate van aantrekking tot hetzelfde geslacht samenhangt met een verminderd psychisch welbevinden.,Hoe komt het dan dat adolescenten die zich aangetrokken voelen tot hetzelfde geslacht toch vaker te maken krijgen met stigmatiserende ervaringen als pesten?,Adolescenten die zich aangetrokken voelen tot hetzelfde geslacht ervaren een verminderd psychisch welbevinden.; Dit verband wordt verklaard door de mate van gepest worden op grond van gender nonconformiteit.; Dit mediatiemodel is sterker wanneer adolescenten meer gender nonconform zijn.,"Deze studie is een secundaire data-analyse van eerder verzamelde data, waarbij de gegevens zijn verzameld middels een schriftelijke vragenlijst, afgenomen bij adolescenten tussen de twaalf en twintig jaar oud. Het ging om een eenmalige afname en dus om cross-sectioneel onderzoek.","Adolescenten die zich aangetrokken voelen tot hetzelfde geslacht rapporteren meer internaliserend probleemgedrag, vaker gepest te worden op grond van gender nonconformiteit en meer gender nonconform zijn dan adolescenten die zich niet aangetrokken voelen tot hetzelfde geslacht.","['Middels vervolgonderzoek kan meer zicht worden verkregen op factoren die samenhangen met het verminderd psychisch welbevinden van adolescenten die zich aangetrokken voelen tot hetzelfde geslacht.', 'Het is zinvol om een longitudinaal onderzoek te starten, om inzicht te krijgen in hoe verbanden tussen aantrekking tot hetzelfde geslacht en psychisch welbevinden veranderen over tijd.', 'Het is interessant om in een vervolgstudie aandacht te besteden aan de participanten die voor de antwoordcategorie ‘weet ik niet’ kiezen wanneer wordt gevraagd op wie zij verliefd worden of tot wie zij zich aangetrokken voelen.']",Universiteit van Amsterdam,E.M. Boomars,"prof. dr. H.M.W. Bos, dr. L. van Rijn-van Gelderen","Preventieve Jeugdhulp en Opvoeding, Pedagogische Wetenschappen en Onderwijskunde",06-2018,38041.pdf
Bij Zon en Regen? – Het Effect van een Korte wandeling in de Natuur op Aandacht van Schoolkinderen,"Nature, Attention Problems, Attention, Attention Restauration Theory, Digit Span Backward, Sunshine, Rain","investigate through a randomized, controlled experiment whether nature had a positive influence on children’s attention and whether this influence was strengthened or weakened by weather conditions, specific sunshine and rain",Is er een verschil in de aandacht van kinderen in de leeftijd van acht tot twaalf jaar na een wandeling in de natuur in vergelijking met kinderen die een wandeling maken in een stedelijke omgeving en kinderen die helemaal geen wandeling maken en wordt dit effect beïnvloed door weersomstandigheden?,"Kinderen die een wandeling in de natuur maakten beter zouden scoren op aandacht dan leeftijdsgenoten die een wandeling in de wijk maakten of geen wandeling maakten.; Wanneer er sprake is van regen wordt er geen verschil verwacht in aandacht tussen kinderen die wandelen en kinderen die geen wandeling maken.; Wanneer de zon schijnt, wordt verwacht dat kinderen die een wandeling maken (zowel in de natuur als in de wijk) hoger scoren op aandacht dan kinderen die geen wandeling maken.","Gerandomiseerd, gecontroleerd experiment met 101 schoolkinderen. Aandacht gemeten met de Digit Span Backwards (DSB). Drie condities: wandeling in de natuur, wandeling in een stedelijke omgeving, en controleconditie (binnen blijven).",Geen significant effect van een wandeling in de natuur op aandacht. Positief effect van zonlicht op aandacht en hogere scores voor kinderen die binnen bleven tijdens regen.,"['Focus op verduidelijking van de effecten van zon- en daglicht op de aandacht van kinderen.', 'Onderzoek naar andere aspecten van de natuur die bijdragen aan aandacht.']",Universiteit van Amsterdam,Puck Bouwens,Mw. Dr. J. Weeland,Forensische Orthopedagogiek,07-2017,38042.pdf
Een Crosssectionele Studie over de Rolverdeling van Ouders in de Gezinstaken tussen 2008 en 2015,"rolverdeling ouders, huishoudelijke- opvoedingstaken, gezinstaken, de vaderrol, vaders betrokkenheid",onderzoeken in hoeverre de rolverdeling van ouders in de gezinstaken veranderd is tussen 2008 en 2015,In hoeverre is er een verschil in de rolverdeling van ouders over zowel huishoudelijke- als opvoedingstaken tussen 2008 en 2015?,"De verwachting is dat vaders in 2015 meer betrokken zijn bij de opvoedingstaken dan in 2008, maar dat moeders nog steeds grotendeels de huishoudelijke taken op zich blijven nemen.","Secundaire data-analyse op data van het openbaar beschikbare LISS panel. De data van het LISS-panel bevat 8 meetmomenten, alleen de data van het tweede meetmoment in 2008 en laatste meetmoment in 2015 werden gebruikt. Beschrijvende analyses en een z-toets voor het verschil tussen twee proporties zijn uitgevoerd.",De rolverdeling van ouders over de gezinstaken tussen 2008 en 2015 is onveranderd gebleven. Meer dan de helft van de ouders hanteerde zowel in 2008 als in 2015 nog een traditionele rolverdeling.,"['Bij vervolgonderzoek langdurig over meerdere generaties heen de rolverdeling onderzoeken bij dezelfde respondenten.', 'Aan respondenten vragen welke rolverdeling hun eigen ouders hanteerden.', 'Vragen aan respondenten om het aantal uren dat zij besteden aan de gezinstaken in te vullen.']",not present,A. L. van der Linden,dr. P. J. Hoffenaar & prof. dr. G. J. van Overbeek,"Preventieve Jeugdhulp en Opvoeding, Pedagogische Wetenschappen en Onderwijskunde",06-2018,38045.pdf
How do the negotiation strategies influence negotiation performance outcome within the intercultural communication framework?,"negotiation strategies, integrative, distributive, performance outcome, intercultural awareness, intercultural communication",to investigate how negotiation communication strategies of organizations influence the external communicators’ negotiation performance and how this could be affected by intercultural awareness,To what extent do negotiation communication strategies of organizations influence the external communicators’ negotiation performance and to what extent is this relationship influenced by intercultural awareness?,H1: The relation between the organization’s integrative negotiation strategy and the external communicators’ negotiation performance is more positive compared to distributive negotiation strategy.; H2: The positive relationship between the organization’s integrative negotiation strategy and the external communicators’ negotiation performance is stronger for practitioners with higher intercultural awareness level than with lower.,"A quantitative method was used, involving a cross-sectional online survey to investigate negotiation strategies and their performance outcomes, as well as the influence of intercultural awareness.","The study found that the integrative negotiation strategy has a significant positive influence on negotiation performance compared to the distributive strategy. However, the relationship between the integrative strategy and performance outcome is mediated by intercultural awareness.","['Replicate the study to see if the results will remain similar with different respondents.', 'Examine the current study relationships and moderation effect by applying experimental design to prove causality.', 'Investigate how cultural awareness could predict the selection of integrative strategy, which in turn affects the negotiation performance outcome.', 'Examine the moderation effect of power and status on the negotiation procedure and performance outcome with intercultural communication settings.', 'Investigate the practitioners’ implementation of integrative and distributive strategies by a certain geographical region.']",not present,Alina Derevska,Dr. S.C. de Bakker,Master’s Program Communication Science,06-2019,38086.pdf
A Silencing Grey Zone: Attitudes of Journalists Regarding Self-Regulation of Media in Post-Conflict Rwanda,"journalism, Rwanda, self-regulation, post-conflict society, press freedom",to investigate the practice and effectiveness of self-regulation and non-governmental regulation of mass media by Rwandan reporters,How do Rwandan journalists experience and practice self-regulation and how does this self-regulation relate to how they perceive their role as journalists in a post-conflict society?,not present,"Qualitative research using semi-structured interviews with 31 Rwandan journalists, including 5 in exile and 7 journalism students. Interviews were conducted in person and via Skype, focusing on journalists' perceptions of self-regulation and media freedom.","The introduction of self-regulation has provided legal freedoms to Rwandan media, but self-censorship remains widespread due to fear stemming from the country's genocidal past. Journalists express a desire for both responsible journalism and press freedom, but struggle to balance these roles.","['Future research on the development of the RMC is suggested.', 'Further research is needed to understand the effects of social media on Rwanda’s press freedom.']",not present,Anne ter Rele,"Martijn Dekker, Peter Verlinden",Conflict Resolution and Governance,06-2019,38131.pdf
Satire and News: Contrasting or Complementary?,"Political Satire, Political Engagement, Programme Order Effects, Affective Intelligence Theory, Motivated Reasoning","To assess the effect of exposure to political satire, in relation to and in combination with exposure to hard TV news, on non-institutionalised political engagement, and to explore the underlying mechanisms in this process.","What is the effect of exposure to political satire, in relation to and in combination with exposure to hard TV news, on non-institutionalised political engagement, and what are the underlying mechanisms in this process?","(a) Watching political satire leads to higher levels of internal efficacy than watching hard TV news, and (b) this effect will be more pronounced for younger people than for older people.; (a) Watching political satire leads to lower levels of political trust than watching hard TV news, and (b) this effect will be more pronounced for younger people than for older people.; (a) Watching political satire leads to higher levels of anger than watching hard TV news, and (b) this effect will be more pronounced for younger people than for older people.; (a) Watching political satire has an indirect positive effect on non-institutionalised political engagement via internal efficacy, (b) political trust, and (c) anger, and (d) this effect will be more pronounced for younger people than for older people.; (a) Watching political satire without exposure to hard TV news leads to higher levels of internal efficacy compared to watching political satire in combination with hard TV news, and (b) this effect will be more pronounced for younger people than for older people.; (a) Watching political satire without exposure to hard TV news leads to lower levels of political trust compared to watching political satire in combination with hard TV news, and (b) this effect will be more pronounced for younger people than for older people.; (a) Watching political satire without exposure to hard TV news leads to higher levels of anger compared to watching political satire in combination with hard TV news, and (b) this effect will be more pronounced for younger people than for older people.; (a) Watching political satire without exposure to hard TV news leads to more non-institutionalised political engagement via (a) internal efficacy, (b) political trust, and (c) anger, compared to watching political satire in combination with hard TV news, and (d) this effect will be more pronounced for younger people than for older people.; (a) Watching political satire followed by hard TV news leads to higher levels of internal efficacy compared to watching hard TV news followed by political satire, and (b) this effect will be more pronounced for younger people than for older people.; (a) Watching political satire followed by hard TV news leads to lower levels of political trust compared to watching hard TV news followed by political satire, and (b) this effect will be more pronounced for younger people than for older people.; (a) Watching political satire followed by hard TV news leads to higher levels of anger compared to watching hard TV news followed by political satire, and (b) this effect will be more pronounced for younger people than for older people.; (a) Watching political satire followed by hard TV news leads to more non-institutionalised political engagement via (a) internal efficacy, (b) political trust, and (c) anger, compared to watching hard TV news followed by political satire, and (d) this effect will be more pronounced for younger people than for older people.","An experiment via an online survey with a between-subjects design was conducted. Participants were randomly assigned to one of four conditions: watching either political satire, hard TV news, or both in different orders. The study included demographic questions and measures of mediators and dependent variables.","The study found no significant effect of political satire on political engagement, internal efficacy, political trust, or anger. The programme order affected political trust among younger participants, with lower trust when satire preceded hard news.","['More research into the underlying mechanisms of programme order effects.', 'Investigate the complex psychological mechanisms and broader theories of communication science related to political satire.']",not present,Nikki Gommers,Dr. Mark Boukes,Master’s Programme Political Communication,01-2019,38241.pdf
The Emotional Power of Words and Visuals in Terrorism News Coverage,"Terrorism News, Emotions, Terrorist Threat, Labelling, Visuals",To investigate the effects of terrorist labelling of an attack in a news story on negative emotions and perceived terrorist threat.,How does terrorist labelling in news stories affect negative emotions and perceived terrorist threat?,H1: Exposure to terrorist labelling of an attack in a news story will induce stronger negative emotions and a stronger perception of terrorist threat than exposure to a news story without labelling.; H2: The effect of exposure to terrorist labelling of an attack in a news story on negative emotions increases when combined with a neutral visual and is strongest when combined with a threatening visual.; H3: The effect of exposure to terrorist labelling of an attack in a news story on perceived terrorist threat increases when combined with a neutral visual and is strongest when combined with a threatening visual.; H4: The effect of exposure to terrorist labelling of an attack in a news story induces fear stronger than anger.,An experimental study was conducted with a German sample (N = 271) using a survey-embedded online experiment with a 2 (terrorist labelling vs. no labelling) x 3 (no visual vs. neutral visual vs. threatening visual) factorial design.,"Results refute the hypotheses at several points. The news story without labelling significantly increases negative emotions, while non-significant results are found for perceived terrorist threat. Anger significantly increases as a response to news exposure, contrary to expectations.","['Future research could manipulate the amount of information beyond terrorist labelling to broaden the scope of which news characteristics impact the reader’s emotions and perceptions of threat.', 'Future studies should attempt to recruit representative samples.', 'Varying the assigned human agency as well as references to uncertainty and powerlessness in news articles in the future would offer a more concise understanding of relevant determinants.']",not present,Linda Henke,Laura Jacobs,Master’s programme Communication Science,06-2019,38255.pdf
Pleegouders en PMTO,"Pleegouders, PMTO, ervaringen, afsluiting, lange-termijn effect",Het onderzoeken van de ervaringen van Nederlandse pleegouders met de afsluiting van PMTO en de lange-termijn effecten van PMTO.,1) Hoe ervaren Nederlandse pleegouders de afsluiting van PMTO en welke contextfactoren beïnvloeden deze ervaringen? 2) Hoe ervaren Nederlandse pleegouders de lange-termijn effecten van PMTO en welke contextfactoren beïnvloeden deze ervaringen?,not present,Kwalitatief onderzoek met semi-gestructureerde diepte-interviews. Deelnemers waren 22 Nederlandse pleegouders die PMTO tussen eind 2014 en eind 2016 hebben afgesloten.,"Pleegouders waren over het algemeen tevreden met de afsluiting van PMTO en voelden zich in staat om de geleerde strategieën zelfstandig toe te passen. De opvoedstress was laag en het vertrouwen in de toekomst was redelijk goed, hoewel sommige pleegouders een slag om de arm hielden.","['Onderzoek naar de ervaringen van pleegouders die PMTO niet hebben afgemaakt.', 'Kijken of het voor de ervaringen met PMTO uitmaakt of het een een- of tweeoudergezin betreft.']","['De Rading', 'Juzt', 'Jeugdhulp Friesland']",E. Bentum,"['Dr. F. B. van Rooij', 'Dr. M. Hoeve']",Forensische Orthopedagogiek,07-2017,38327.pdf
